voltage,current,power,pf,z
225.8,1.098,201.8,0.81,205.6
225.8,1.098,201.8,0.81,205.6
225.8,1.099,202,0.81,205.5
225.8,1.099,202,0.81,205.5
225.8,1.099,202,0.81,205.5
225.8,1.099,202.1,0.81,205.5
225.9,1.099,202.2,0.81,205.6
225.9,1.099,202.2,0.81,205.6
225.9,1.099,202.1,0.81,205.6
225.9,1.099,202.1,0.81,205.6
226,1.101,202.5,0.81,205.3
226,1.101,202.5,0.81,205.3
226,1.101,202.5,0.81,205.3
225.9,1.102,202.4,0.81,205.0
225.9,1.102,202.4,0.81,205.0
225.9,1.1,202.3,0.81,205.4
225.9,1.1,202.3,0.81,205.4
225.9,1.1,202.2,0.81,205.4
225.9,1.1,202.2,0.81,205.4
225.9,1.1,202.3,0.81,205.4
225.9,1.1,202.3,0.81,205.4
225.9,1.1,202.3,0.81,205.4
225.9,1.1,202.3,0.81,205.4
225.9,1.099,202.2,0.81,205.6
225.9,1.099,202.2,0.81,205.6
225.8,1.098,202,0.81,205.6
225.8,1.098,202,0.81,205.6
225.7,1.097,201.9,0.82,205.7
225.7,1.097,201.9,0.82,205.7
225.8,1.098,202.2,0.82,205.6
225.8,1.098,202.2,0.82,205.6
225.8,1.097,202,0.82,205.8
225.8,1.097,202,0.82,205.8
226,1.101,202.6,0.81,205.3
226,1.101,202.6,0.81,205.3
226,1.1,202.5,0.81,205.5
226,1.1,202.5,0.81,205.5
226,1.1,202.5,0.81,205.5
226,1.1,202.5,0.81,205.5
225.9,1.1,202.6,0.82,205.4
225.9,1.1,202.6,0.82,205.4
225.6,1.097,201.9,0.82,205.7
225.6,1.097,201.9,0.82,205.7
225.6,1.098,201.9,0.82,205.5
225.6,1.098,201.9,0.82,205.5
225.6,1.097,201.9,0.82,205.7
225.6,1.097,201.9,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.098,201.9,0.82,205.5
225.6,1.098,201.9,0.82,205.5
225.7,1.098,202.2,0.82,205.6
225.7,1.098,202.2,0.82,205.6
225.7,1.099,202.3,0.82,205.4
225.7,1.099,202.3,0.82,205.4
225.7,1.099,202.1,0.81,205.4
225.7,1.099,202.1,0.81,205.4
225.6,1.098,202,0.82,205.5
225.6,1.098,202,0.82,205.5
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.098,202.1,0.82,205.5
225.6,1.098,202.1,0.82,205.5
225.5,1.095,201.7,0.82,205.9
225.5,1.095,201.7,0.82,205.9
225.5,1.097,201.9,0.82,205.6
225.5,1.097,201.9,0.82,205.6
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.097,202.1,0.82,205.7
225.6,1.098,202.1,0.82,205.5
225.6,1.098,202.1,0.82,205.5
225.5,1.097,202,0.82,205.6
225.5,1.097,202,0.82,205.6
225.5,1.097,202,0.82,205.6
225.5,1.095,201.8,0.82,205.9
225.5,1.095,201.8,0.82,205.9
225.6,1.097,202.1,0.82,205.7
225.6,1.096,202,0.82,205.8
225.6,1.096,202,0.82,205.8
225.6,1.097,202.2,0.82,205.7
225.6,1.097,202.2,0.82,205.7
225.6,1.097,202.2,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.097,202,0.82,205.7
225.6,1.096,201.9,0.82,205.8
225.6,1.096,201.9,0.82,205.8
225.5,1.095,201.9,0.82,205.9
225.5,1.095,201.9,0.82,205.9
225.5,1.096,202,0.82,205.7
225.5,1.096,202,0.82,205.7
225.3,1.094,201.7,0.82,205.9
225.3,1.094,201.7,0.82,205.9
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.4,1.094,201.7,0.82,206.0
225.1,1.09,201.1,0.82,206.5
225.1,1.09,201.1,0.82,206.5
224.8,1.087,200.4,0.82,206.8
224.8,1.087,200.4,0.82,206.8
224.9,1.088,200.7,0.82,206.7
224.9,1.088,200.7,0.82,206.7
224.8,1.087,200.5,0.82,206.8
224.8,1.087,200.5,0.82,206.8
224.8,1.086,200.5,0.82,207.0
224.8,1.086,200.5,0.82,207.0
224.8,1.085,200.4,0.82,207.2
224.8,1.085,200.4,0.82,207.2
224.8,1.085,200.5,0.82,207.2
224.8,1.085,200.5,0.82,207.2
224.7,1.084,200.3,0.82,207.3
224.7,1.084,200.3,0.82,207.3
224.7,1.084,200.2,0.82,207.3
224.7,1.084,200.2,0.82,207.3
225.8,1.085,204.9,0.84,208.1
225.7,1.085,205,0.84,208.0
225.7,1.085,205,0.84,208.0
225.7,1.084,204.7,0.84,208.2
225.7,1.084,204.7,0.84,208.2
225.6,1.084,204.7,0.84,208.1
225.6,1.084,204.7,0.84,208.1
225.7,1.085,204.9,0.84,208.0
225.7,1.085,204.9,0.84,208.0
225.7,1.085,204.8,0.84,208.0
225.7,1.085,204.8,0.84,208.0
225.7,1.085,204.9,0.84,208.0
