voltage,current,power,pf,z
223.7,1.091,202.4,0.83,205.0
223.7,1.09,202.3,0.83,205.2
223.7,1.09,202.3,0.83,205.2
223.8,1.091,202.5,0.83,205.1
223.8,1.091,202.5,0.83,205.1
223.8,1.092,202.7,0.83,204.9
223.8,1.092,202.7,0.83,204.9
223.8,1.091,202.6,0.83,205.1
223.8,1.091,202.6,0.83,205.1
223.8,1.091,202.6,0.83,205.1
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.4,0.83,205.0
223.7,1.091,202.4,0.83,205.0
223.6,1.09,202.3,0.83,205.1
223.6,1.09,202.3,0.83,205.1
223.7,1.09,202.4,0.83,205.2
223.7,1.09,202.4,0.83,205.2
223.7,1.09,203.2,0.83,205.2
224.1,1.095,203.2,0.83,204.7
224.1,1.095,203.2,0.83,204.7
224.1,1.096,203.6,0.83,204.5
224.1,1.096,203.6,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.5,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224.1,1.096,203.4,0.83,204.5
224,1.096,203.3,0.83,204.4
224,1.096,203.3,0.83,204.4
224,1.095,203.2,0.83,204.6
224,1.095,203.2,0.83,204.6
224,1.095,203.3,0.83,204.6
224,1.095,203.3,0.83,204.6
224,1.095,203.2,0.83,204.6
224,1.095,203.2,0.83,204.6
224,1.096,203.3,0.83,204.4
224,1.096,203.3,0.83,204.4
224,1.096,203.5,0.83,204.4
224,1.096,203.5,0.83,204.4
224,1.096,203.4,0.83,204.4
224,1.096,203.4,0.83,204.4
224,1.095,203.2,0.83,204.6
224,1.095,203.2,0.83,204.6
224,1.095,203.3,0.83,204.6
224,1.095,203.3,0.83,204.6
224,1.095,203.3,0.83,204.6
224,1.095,203.3,0.83,204.6
223.9,1.094,203.1,0.83,204.7
223.9,1.094,203.1,0.83,204.7
223.9,1.094,203.2,0.83,204.7
223.9,1.094,203.2,0.83,204.7
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.6,0.83,205.0
223.6,1.09,202.4,0.83,205.1
223.6,1.09,202.4,0.83,205.1
223.6,1.09,202.3,0.83,205.1
223.6,1.09,202.3,0.83,205.1
223.7,1.091,202.5,0.83,205.0
223.7,1.091,202.5,0.83,205.0
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.6,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.092,202.7,0.83,204.9
223.7,1.092,202.7,0.83,204.9
223.7,1.092,202.7,0.83,204.9
223.7,1.092,202.7,0.83,204.9
223.7,1.092,202.8,0.83,204.9
223.7,1.092,202.8,0.83,204.9
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.092,202.7,0.83,204.9
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.7,1.091,202.7,0.83,205.0
223.8,1.092,202.9,0.83,204.9
223.8,1.092,202.9,0.83,204.9
223.8,1.092,202.9,0.83,204.9
223.8,1.092,202.9,0.83,204.9
223.8,1.092,202.9,0.83,204.9
223.8,1.092,203,0.83,204.9
223.8,1.092,203,0.83,204.9
224,1.095,203.5,0.83,204.6
224,1.095,203.5,0.83,204.6
224.1,1.096,203.6,0.83,204.5
224.1,1.096,203.6,0.83,204.5
224.1,1.095,203.6,0.83,204.7
224.1,1.095,203.6,0.83,204.7
224.1,1.094,203.5,0.83,204.8
224.1,1.094,203.5,0.83,204.8
224,1.095,203.4,0.83,204.6
224,1.095,203.4,0.83,204.6
224,1.095,203.5,0.83,204.6
224,1.095,203.5,0.83,204.6
224.1,1.095,203.5,0.83,204.7
224.1,1.095,203.5,0.83,204.7
224.1,1.096,203.7,0.83,204.5
224.1,1.096,203.7,0.83,204.5
224.1,1.096,203.6,0.83,204.5
224.1,1.096,203.6,0.83,204.5
224.1,1.095,203.6,0.83,204.7
224.1,1.095,203.6,0.83,204.7
224.1,1.096,203.7,0.83,204.5
224.1,1.096,203.7,0.83,204.5
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.097,204,0.83,204.4
224.2,1.097,204,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.3,1.097,204,0.83,204.5
224.3,1.097,204,0.83,204.5
224.3,1.097,203.9,0.83,204.5
224.3,1.097,203.9,0.83,204.5
224.2,1.097,204,0.83,204.4
224.2,1.097,204,0.83,204.4
224.2,1.096,203.8,0.83,204.6
224.2,1.096,203.8,0.83,204.6
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.097,203.7,0.83,204.4
224.2,1.097,203.7,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.1,1.097,203.7,0.83,204.3
224.1,1.097,203.7,0.83,204.3
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.2,1.098,203.9,0.83,204.2
224.2,1.098,203.9,0.83,204.2
224.2,1.099,204,0.83,204.0
224.2,1.099,204,0.83,204.0
224.2,1.099,204.1,0.83,204.0
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.098,203.9,0.83,204.2
224.3,1.098,203.9,0.83,204.3
224.3,1.098,203.9,0.83,204.3
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.1,1.097,203.7,0.83,204.3
224.1,1.097,203.7,0.83,204.3
224.1,1.097,203.9,0.83,204.3
224.1,1.097,203.9,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.9,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224.2,1.097,203.8,0.83,204.4
224.2,1.097,203.8,0.83,204.4
224.1,1.096,203.7,0.83,204.5
224.1,1.096,203.7,0.83,204.5
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.2,1.097,204,0.83,204.4
224.2,1.097,204,0.83,204.4
224.2,1.098,204.1,0.83,204.2
224.2,1.098,204.1,0.83,204.2
224.2,1.098,204.1,0.83,204.2
224.2,1.098,204.1,0.83,204.2
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.9,0.83,204.3
224.1,1.097,203.9,0.83,204.3
224.2,1.098,204,0.83,204.2
224.2,1.098,204,0.83,204.2
224,1.096,203.6,0.83,204.4
224,1.096,203.6,0.83,204.4
224,1.096,203.6,0.83,204.4
224,1.096,203.6,0.83,204.4
224.1,1.097,203.8,0.83,204.3
224.1,1.097,203.8,0.83,204.3
224.1,1.098,203.9,0.83,204.1
224.1,1.098,203.9,0.83,204.1
224,1.097,203.7,0.83,204.2
224,1.097,203.7,0.83,204.2
224,1.097,203.7,0.83,204.2
224,1.097,203.7,0.83,204.2
223.9,1.096,203.4,0.83,204.3
223.9,1.096,203.4,0.83,204.3
224,1.097,203.5,0.83,204.2
224,1.097,203.5,0.83,204.2
224,1.098,203.8,0.83,204.0
224,1.098,203.8,0.83,204.0
224,1.098,203.7,0.83,204.0
224,1.098,203.7,0.83,204.0
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.9,0.83,204.1
224.1,1.098,203.9,0.83,204.1
224.1,1.098,204,0.83,204.1
224.1,1.098,204,0.83,204.1
224.1,1.098,204,0.83,204.1
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.098,203.9,0.83,204.1
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.098,203.9,0.83,204.1
224.1,1.098,203.9,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224.1,1.098,203.8,0.83,204.1
224,1.098,203.8,0.83,204.0
224,1.098,203.8,0.83,204.0
224.1,1.099,203.9,0.83,203.9
224.1,1.099,203.9,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.1,1.098,203.7,0.83,204.1
224.1,1.098,203.7,0.83,204.1
224.2,1.1,204.1,0.83,203.8
224.2,1.1,204.1,0.83,203.8
224.2,1.1,204.1,0.83,203.8
224.2,1.1,204.1,0.83,203.8
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.2,0.83,203.8
224.1,1.099,203.8,0.83,203.9
224.1,1.099,203.8,0.83,203.9
224.2,1.1,204.1,0.83,203.8
224.2,1.1,204.1,0.83,203.8
224.1,1.099,203.8,0.83,203.9
224.1,1.099,203.8,0.83,203.9
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.3,0.83,203.8
224.2,1.1,204.3,0.83,203.8
224.1,1.099,204,0.83,203.9
224.1,1.099,204,0.83,203.9
224.2,1.1,204.2,0.83,203.8
224.2,1.1,204.2,0.83,203.8
