voltage,current,power,pf,z
225.1,1.053,163.7,0.69,213.8
224.9,1.049,163,0.69,214.4
224.9,1.049,163,0.69,214.4
224.9,1.049,163,0.69,214.4
224.9,1.049,163,0.69,214.4
224.8,1.047,162.8,0.69,214.7
224.8,1.047,162.8,0.69,214.7
224.8,1.046,162.8,0.69,214.9
224.8,1.046,162.8,0.69,214.9
224.8,1.047,162.8,0.69,214.7
224.8,1.047,162.8,0.69,214.7
224.8,1.047,163,0.69,214.7
224.8,1.047,163,0.69,214.7
224.9,1.048,163.2,0.69,214.6
224.9,1.048,163.2,0.69,214.6
224.9,1.047,163,0.69,214.8
224.9,1.047,163,0.69,214.8
224.9,1.048,163,0.69,214.6
224.9,1.048,163,0.69,214.6
224.9,1.047,163.2,0.69,214.8
224.9,1.047,163.2,0.69,214.8
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.8,1.044,162.7,0.69,215.3
224.8,1.044,162.7,0.69,215.3
224.8,1.044,162.8,0.69,215.3
224.8,1.044,162.8,0.69,215.3
224.8,1.045,162.9,0.69,215.1
224.8,1.045,162.9,0.69,215.1
224.8,1.045,162.9,0.69,215.1
224.8,1.044,162.7,0.69,215.3
224.8,1.044,162.7,0.69,215.3
224.7,1.044,162.7,0.69,215.2
224.8,1.045,162.9,0.69,215.1
224.8,1.045,162.9,0.69,215.1
224.8,1.045,162.8,0.69,215.1
224.8,1.045,162.8,0.69,215.1
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.046,163,0.69,215.0
224.9,1.045,163.1,0.69,215.2
224.9,1.045,163.1,0.69,215.2
224.9,1.044,162.9,0.69,215.4
224.9,1.044,162.9,0.69,215.4
224.8,1.043,162.7,0.69,215.5
224.8,1.043,162.7,0.69,215.5
224.8,1.043,162.7,0.69,215.5
224.8,1.043,162.7,0.69,215.5
224.9,1.045,163,0.69,215.2
224.9,1.045,163,0.69,215.2
225,1.047,163.2,0.69,214.9
225,1.047,163.2,0.69,214.9
225,1.045,163.2,0.69,215.3
225,1.045,163.2,0.69,215.3
224.9,1.044,162.9,0.69,215.4
224.9,1.044,162.9,0.69,215.4
225,1.044,163,0.69,215.5
225,1.044,163,0.69,215.5
225,1.045,163.2,0.69,215.3
225,1.045,163.2,0.69,215.3
225,1.046,163.4,0.69,215.1
225,1.046,163.4,0.69,215.1
225,1.045,163.3,0.69,215.3
225,1.045,163.3,0.69,215.3
224.9,1.046,163.3,0.69,215.0
224.9,1.046,163.3,0.69,215.0
225,1.046,163.3,0.69,215.1
225,1.046,163.3,0.69,215.1
225.1,1.047,163.8,0.7,215.0
225.1,1.047,163.8,0.7,215.0
225.1,1.048,163.7,0.69,214.8
225.1,1.048,163.7,0.69,214.8
225,1.046,163.3,0.69,215.1
225,1.046,163.3,0.69,215.1
224.9,1.045,163.2,0.69,215.2
224.9,1.045,163.2,0.69,215.2
224.9,1.044,162.9,0.69,215.4
224.9,1.044,162.9,0.69,215.4
225,1.046,163.4,0.69,215.1
225,1.046,163.4,0.69,215.1
225,1.048,163.5,0.69,214.7
225,1.048,163.5,0.69,214.7
225,1.045,163.4,0.69,215.3
225,1.045,163.4,0.69,215.3
225,1.046,163.5,0.69,215.1
225,1.046,163.5,0.69,215.1
225,1.046,163.4,0.69,215.1
225,1.046,163.4,0.69,215.1
225,1.046,163.2,0.69,215.1
225,1.046,163.2,0.69,215.1
224.9,1.044,163.1,0.69,215.4
224.9,1.044,163.1,0.69,215.4
224.9,1.044,163,0.69,215.4
224.9,1.044,163,0.69,215.4
224.9,1.045,163.3,0.69,215.2
224.9,1.045,163.3,0.69,215.2
224.9,1.047,163.5,0.69,214.8
224.9,1.047,163.5,0.69,214.8
224.9,1.046,163.4,0.69,215.0
224.9,1.046,163.4,0.69,215.0
224.9,1.047,163.4,0.69,214.8
224.9,1.047,163.4,0.69,214.8
225,1.048,163.5,0.69,214.7
225,1.048,163.5,0.69,214.7
225,1.048,163.7,0.69,214.7
225,1.048,163.7,0.69,214.7
224.9,1.047,163.4,0.69,214.8
224.9,1.047,163.4,0.69,214.8
224.9,1.047,163.4,0.69,214.8
224.9,1.047,163.5,0.69,214.8
224.9,1.047,163.5,0.69,214.8
224.9,1.046,163.5,0.7,215.0
225,1.046,163.6,0.7,215.1
225,1.046,163.6,0.7,215.1
225,1.047,163.7,0.69,214.9
225,1.047,163.7,0.69,214.9
225,1.047,163.7,0.69,214.9
224.9,1.045,163.2,0.69,215.2
224.9,1.045,163.2,0.69,215.2
224.7,1.045,163.1,0.69,215.0
224.7,1.045,163.1,0.69,215.0
224.8,1.046,163.3,0.69,214.9
224.8,1.046,163.3,0.69,214.9
225,1.05,163.7,0.69,214.3
225,1.05,163.7,0.69,214.3
225,1.05,163.9,0.69,214.3
225,1.05,163.9,0.69,214.3
225.1,1.051,164.2,0.69,214.2
225.1,1.051,164.2,0.69,214.2
225.2,1.052,164.3,0.69,214.1
225.2,1.052,164.3,0.69,214.1
225.3,1.053,164.6,0.69,214.0
225.3,1.053,164.6,0.69,214.0
225.3,1.053,164.6,0.69,214.0
225.3,1.053,164.6,0.69,214.0
225.2,1.053,164.4,0.69,213.9
225.2,1.053,164.4,0.69,213.9
225.2,1.052,164.4,0.69,214.1
225.2,1.052,164.4,0.69,214.1
225.3,1.054,164.6,0.69,213.8
225.3,1.054,164.6,0.69,213.8
225.7,1.062,165.7,0.69,212.5
225.7,1.062,165.7,0.69,212.5
225.7,1.061,165.9,0.69,212.7
225.7,1.061,165.9,0.69,212.7
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.5,1.058,165.2,0.69,213.1
225.5,1.058,165.2,0.69,213.1
225.5,1.058,165.3,0.69,213.1
225.5,1.058,165.3,0.69,213.1
225.5,1.057,165.2,0.69,213.3
225.5,1.057,165.2,0.69,213.3
225.5,1.056,165.1,0.69,213.5
225.5,1.056,165.1,0.69,213.5
225.5,1.057,165.2,0.69,213.3
225.5,1.057,165.2,0.69,213.3
225.5,1.057,165.3,0.69,213.3
225.5,1.057,165.3,0.69,213.3
225.5,1.058,165.3,0.69,213.1
225.5,1.058,165.3,0.69,213.1
225.5,1.058,165.3,0.69,213.1
225.5,1.058,165.3,0.69,213.1
225.5,1.058,165.4,0.69,213.1
225.5,1.058,165.4,0.69,213.1
225.5,1.058,165.5,0.69,213.1
225.5,1.058,165.5,0.69,213.1
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.058,165.5,0.69,213.2
225.6,1.058,165.5,0.69,213.2
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.059,165.6,0.69,213.0
225.6,1.06,165.8,0.69,212.8
225.6,1.06,165.7,0.69,212.8
225.6,1.06,165.7,0.69,212.8
225.5,1.059,165.5,0.69,212.9
225.5,1.059,165.5,0.69,212.9
225.5,1.059,165.5,0.69,212.9
225.5,1.059,165.5,0.69,212.9
225.5,1.059,165.5,0.69,212.9
225.5,1.058,165.5,0.69,213.1
225.5,1.058,165.5,0.69,213.1
225.5,1.058,165.6,0.69,213.1
225.5,1.058,165.6,0.69,213.1
225.6,1.06,165.7,0.69,212.8
225.6,1.06,165.7,0.69,212.8
225.6,1.06,165.8,0.69,212.8
225.6,1.061,166,0.69,212.6
225.6,1.061,166,0.69,212.6
225.6,1.061,166,0.69,212.6
225.6,1.061,166,0.69,212.6
225.6,1.061,166,0.69,212.6
225.7,1.062,166.1,0.69,212.5
225.7,1.062,166.1,0.69,212.5
225.7,1.062,166.1,0.69,212.5
225.7,1.062,166.1,0.69,212.5
225.6,1.061,165.9,0.69,212.6
225.6,1.061,165.9,0.69,212.6
225.7,1.062,166.1,0.69,212.5
225.7,1.062,166.1,0.69,212.5
225.6,1.061,166,0.69,212.6
225.6,1.061,166,0.69,212.6
225.6,1.063,166.2,0.69,212.2
225.6,1.063,166.2,0.69,212.2
225.6,1.064,166.1,0.69,212.0
225.6,1.064,166.1,0.69,212.0
225.6,1.063,166.2,0.69,212.2
225.6,1.063,166.2,0.69,212.2
225.7,1.064,166.1,0.69,212.1
225.7,1.064,166.1,0.69,212.1
225.7,1.066,166.6,0.69,211.7
225.7,1.066,166.6,0.69,211.7
225.7,1.067,166.4,0.69,211.5
225.7,1.067,166.4,0.69,211.5
225.8,1.066,166.6,0.69,211.8
225.8,1.066,166.6,0.69,211.8
225.8,1.067,166.7,0.69,211.6
225.8,1.067,166.7,0.69,211.6
225.8,1.066,166.7,0.69,211.8
225.8,1.066,166.7,0.69,211.8
225.8,1.067,166.7,0.69,211.6
225.8,1.067,166.7,0.69,211.6
225.8,1.067,166.8,0.69,211.6
225.8,1.067,166.8,0.69,211.6
225.9,1.067,166.9,0.69,211.7
225.9,1.067,166.9,0.69,211.7
225.9,1.067,166.9,0.69,211.7
225.9,1.067,166.9,0.69,211.7
225.9,1.068,166.8,0.69,211.5
225.9,1.068,166.8,0.69,211.5
225.9,1.067,166.8,0.69,211.7
225.9,1.067,166.8,0.69,211.7
225.9,1.068,167.1,0.69,211.5
225.9,1.068,167.1,0.69,211.5
225.9,1.067,166.8,0.69,211.7
225.9,1.067,166.8,0.69,211.7
225.8,1.066,166.8,0.69,211.8
225.8,1.066,166.8,0.69,211.8
225.9,1.067,166.8,0.69,211.7
225.9,1.067,166.8,0.69,211.7
225.8,1.066,166.9,0.69,211.8
225.8,1.066,166.9,0.69,211.8
225.8,1.065,166.5,0.69,212.0
225.8,1.065,166.5,0.69,212.0
225.8,1.066,166.9,0.69,211.8
225.8,1.066,166.9,0.69,211.8
