voltage,current,power,pf,z
228.3,1.109,171.2,0.68,205.9
228.3,1.109,171.9,0.68,205.9
228.3,1.109,171.9,0.68,205.9
228.3,1.108,171.9,0.68,206.0
228.3,1.108,171.9,0.68,206.0
228.2,1.108,172,0.68,206.0
228.2,1.108,172,0.68,206.0
228.4,1.111,172.9,0.68,205.6
228.4,1.111,172.9,0.68,205.6
228.5,1.111,172.7,0.68,205.7
228.5,1.111,172.7,0.68,205.7
228.2,1.108,172.1,0.68,206.0
228.2,1.108,172.1,0.68,206.0
228.3,1.108,172.3,0.68,206.0
228.3,1.108,172.3,0.68,206.0
228.3,1.108,172.3,0.68,206.0
228.3,1.108,172.3,0.68,206.0
228.3,1.109,172.6,0.68,205.9
228.3,1.109,172.6,0.68,205.9
228.2,1.108,172.5,0.68,206.0
228.2,1.108,172.5,0.68,206.0
228.3,1.109,172.6,0.68,205.9
228.3,1.109,172.6,0.68,205.9
228.3,1.108,172.7,0.68,206.0
228.3,1.108,172.7,0.68,206.0
228.2,1.107,172.3,0.68,206.1
228.2,1.107,172.3,0.68,206.1
228.1,1.104,172.1,0.68,206.6
228.1,1.104,172.1,0.68,206.6
228.1,1.104,172,0.68,206.6
228.1,1.104,172,0.68,206.6
228.1,1.104,171.9,0.68,206.6
228.1,1.104,171.9,0.68,206.6
228.1,1.105,172.1,0.68,206.4
228.1,1.105,172.1,0.68,206.4
228.2,1.106,172.3,0.68,206.3
228.2,1.106,172.3,0.68,206.3
228.2,1.107,172.6,0.68,206.1
228.2,1.107,172.6,0.68,206.1
228,1.104,172,0.68,206.5
228,1.104,172,0.68,206.5
227.9,1.102,171.8,0.68,206.8
227.9,1.102,171.8,0.68,206.8
227.9,1.101,171.8,0.68,207.0
227.9,1.101,171.8,0.68,207.0
228,1.102,171.9,0.68,206.9
228,1.102,171.9,0.68,206.9
228,1.102,172,0.68,206.9
228,1.102,172,0.68,206.9
228.1,1.102,172,0.68,207.0
228.1,1.102,172,0.68,207.0
228.1,1.102,172,0.68,207.0
228.1,1.102,172.2,0.69,207.0
228.1,1.102,172.2,0.69,207.0
228,1.101,172,0.69,207.1
228,1.101,172,0.69,207.1
227.9,1.099,171.7,0.69,207.4
227.7,1.097,171.2,0.69,207.6
227.7,1.097,171.2,0.69,207.6
227.6,1.097,171.1,0.69,207.5
227.6,1.097,171.1,0.69,207.5
227.6,1.097,171.1,0.69,207.5
