voltage,current,power,pf,z
226,1.134,222.2,0.87,199.3
226,1.134,222.2,0.87,199.3
226,1.134,222.2,0.87,199.3
226,1.133,222.3,0.87,199.5
226,1.133,222.3,0.87,199.5
226,1.133,222.4,0.87,199.5
226,1.133,222.4,0.87,199.5
226,1.134,222.5,0.87,199.3
226,1.135,222.7,0.87,199.1
226,1.135,222.7,0.87,199.1
226,1.133,222.5,0.87,199.5
226,1.133,222.5,0.87,199.5
226,1.133,222.5,0.87,199.5
226,1.133,222.6,0.87,199.5
226,1.133,222.6,0.87,199.5
226,1.134,222.7,0.87,199.3
226,1.134,222.7,0.87,199.3
226.1,1.134,222.7,0.87,199.4
226.1,1.134,222.7,0.87,199.4
226,1.132,222.4,0.87,199.6
226,1.132,222.4,0.87,199.6
226.2,1.134,222.9,0.87,199.5
226.2,1.134,222.9,0.87,199.5
226.2,1.135,223.1,0.87,199.3
226.2,1.135,223.1,0.87,199.3
226.3,1.136,223.2,0.87,199.2
226.3,1.136,223.2,0.87,199.2
226.3,1.136,223.2,0.87,199.2
226.3,1.136,223.2,0.87,199.2
226.5,1.137,223.6,0.87,199.2
226.5,1.137,223.6,0.87,199.2
226.6,1.139,223.9,0.87,198.9
226.6,1.139,223.9,0.87,198.9
226.5,1.137,223.6,0.87,199.2
226.5,1.137,223.6,0.87,199.2
226.4,1.136,223.6,0.87,199.3
226.4,1.136,223.6,0.87,199.3
226.3,1.135,223.5,0.87,199.4
226.3,1.135,223.5,0.87,199.4
226.4,1.135,223.4,0.87,199.5
226.4,1.135,223.4,0.87,199.5
226.4,1.135,223.4,0.87,199.5
226.4,1.135,223.4,0.87,199.5
226.4,1.136,223.5,0.87,199.3
226.4,1.136,223.5,0.87,199.3
226.3,1.134,223.3,0.87,199.6
226.3,1.134,223.3,0.87,199.6
226.3,1.134,223.3,0.87,199.6
226.3,1.134,223.3,0.87,199.6
226.3,1.13,223,0.87,200.3
226.3,1.13,223,0.87,200.3
226.2,1.133,223.2,0.87,199.6
226.2,1.133,223.2,0.87,199.6
226.1,1.133,222.9,0.87,199.6
226.1,1.133,222.9,0.87,199.6
226.2,1.134,223.2,0.87,199.5
226.2,1.134,223.2,0.87,199.5
226.2,1.134,223.2,0.87,199.5
226.2,1.134,223.2,0.87,199.5
226.2,1.134,223.3,0.87,199.5
226.2,1.134,223.3,0.87,199.5
226,1.132,222.9,0.87,199.6
226,1.132,222.9,0.87,199.6
226,1.133,222.9,0.87,199.5
226,1.133,222.9,0.87,199.5
226,1.132,223,0.87,199.6
226,1.132,223,0.87,199.6
226,1.132,222.8,0.87,199.6
226,1.132,222.8,0.87,199.6
226.1,1.133,223,0.87,199.6
226.1,1.133,223,0.87,199.6
226.1,1.132,222.9,0.87,199.7
226.1,1.132,222.9,0.87,199.7
226.2,1.134,223.2,0.87,199.5
226.2,1.134,223.2,0.87,199.5
226.3,1.134,223.3,0.87,199.6
226.3,1.134,223.3,0.87,199.6
226.3,1.134,223.5,0.87,199.6
226.3,1.134,223.5,0.87,199.6
226.2,1.133,223.2,0.87,199.6
226.2,1.133,223.2,0.87,199.6
226.2,1.133,223.2,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.133,223.2,0.87,199.6
226.2,1.133,223.2,0.87,199.6
226.2,1.133,223.1,0.87,199.6
226.2,1.133,223.1,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.3,1.134,223.4,0.87,199.6
226.3,1.134,223.5,0.87,199.6
226.3,1.134,223.5,0.87,199.6
226.3,1.133,223.4,0.87,199.7
226.3,1.133,223.4,0.87,199.7
226.3,1.133,223.4,0.87,199.7
226.3,1.133,223.4,0.87,199.7
226.3,1.133,223.5,0.87,199.7
226.3,1.133,223.5,0.87,199.7
226.3,1.133,223.3,0.87,199.7
226.3,1.133,223.3,0.87,199.7
226.3,1.133,223.4,0.87,199.7
226.3,1.133,223.4,0.87,199.7
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.1,1.131,223.1,0.87,199.9
226.1,1.131,223.1,0.87,199.9
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.1,0.87,199.8
226.2,1.132,223.1,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.132,223.2,0.87,199.8
226.2,1.133,223.3,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.2,1.133,223.4,0.87,199.6
226.2,1.133,223.4,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.2,1.133,223.3,0.87,199.6
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.3,0.87,199.8
226.2,1.132,223.4,0.87,199.8
226.2,1.132,223.4,0.87,199.8
