voltage,current,power,pf,z
227.6,1.152,227.1,0.87,197.6
227.6,1.152,227.1,0.87,197.6
227.7,1.152,227.1,0.87,197.7
227.7,1.152,227.1,0.87,197.7
227.7,1.151,227.1,0.87,197.8
227.7,1.151,227.1,0.87,197.8
227.8,1.152,227.3,0.87,197.7
227.7,1.152,227.3,0.87,197.7
227.7,1.152,227.3,0.87,197.7
227.7,1.152,227.3,0.87,197.7
227.6,1.149,226.8,0.87,198.1
227.6,1.149,226.8,0.87,198.1
227.5,1.149,226.6,0.87,198.0
227.5,1.149,226.6,0.87,198.0
227.4,1.147,226.5,0.87,198.3
227.4,1.147,226.5,0.87,198.3
227.5,1.148,226.7,0.87,198.2
227.5,1.148,226.7,0.87,198.2
227.5,1.148,226.8,0.87,198.2
227.5,1.148,226.8,0.87,198.2
227.6,1.148,226.9,0.87,198.3
227.6,1.148,226.9,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.3,1.146,226.4,0.87,198.3
227.3,1.146,226.4,0.87,198.3
227.3,1.146,226.2,0.87,198.3
227.3,1.146,226.2,0.87,198.3
227.4,1.146,226.3,0.87,198.4
227.4,1.146,226.3,0.87,198.4
227.4,1.147,226.3,0.87,198.3
227.4,1.147,226.3,0.87,198.3
227.5,1.147,226.6,0.87,198.3
227.5,1.147,226.6,0.87,198.3
227.4,1.147,226.5,0.87,198.3
227.4,1.147,226.5,0.87,198.3
227.4,1.147,226.6,0.87,198.3
227.4,1.147,226.6,0.87,198.3
227.4,1.146,226.3,0.87,198.4
227.4,1.146,226.3,0.87,198.4
227.4,1.147,226.5,0.87,198.3
227.4,1.147,226.5,0.87,198.3
227.3,1.146,226.3,0.87,198.3
227.3,1.146,226.3,0.87,198.3
227.4,1.147,226.4,0.87,198.3
227.4,1.147,226.4,0.87,198.3
227.5,1.148,226.7,0.87,198.2
227.5,1.148,226.7,0.87,198.2
227.5,1.149,226.7,0.87,198.0
227.5,1.149,226.7,0.87,198.0
227.4,1.147,226.3,0.87,198.3
227.4,1.147,226.3,0.87,198.3
227.4,1.147,226.3,0.87,198.3
227.4,1.147,226.3,0.87,198.3
227.4,1.148,226.5,0.87,198.1
227.4,1.148,226.5,0.87,198.1
227.4,1.147,226.4,0.87,198.3
227.4,1.147,226.4,0.87,198.3
227.6,1.149,226.8,0.87,198.1
227.6,1.149,226.8,0.87,198.1
227.6,1.149,226.9,0.87,198.1
227.6,1.149,226.9,0.87,198.1
227.6,1.149,227.1,0.87,198.1
227.6,1.149,227.1,0.87,198.1
227.4,1.147,226.5,0.87,198.3
227.4,1.147,226.5,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.5,1.146,226.5,0.87,198.5
227.5,1.146,226.6,0.87,198.5
227.5,1.146,226.6,0.87,198.5
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.4,1.145,226.5,0.87,198.6
227.4,1.145,226.5,0.87,198.6
227.4,1.145,226.5,0.87,198.6
227.5,1.147,226.7,0.87,198.3
227.5,1.147,226.7,0.87,198.3
227.7,1.149,227.1,0.87,198.2
227.7,1.149,227.1,0.87,198.2
227.8,1.15,227.3,0.87,198.1
227.9,1.151,227.6,0.87,198.0
227.9,1.151,227.6,0.87,198.0
227.9,1.151,227.6,0.87,198.0
227.9,1.151,227.6,0.87,198.0
227.9,1.151,227.6,0.87,198.0
228,1.152,227.7,0.87,197.9
228,1.152,227.7,0.87,197.9
227.9,1.151,227.5,0.87,198.0
227.9,1.151,227.5,0.87,198.0
227.8,1.15,227.4,0.87,198.1
227.8,1.15,227.4,0.87,198.1
227.8,1.15,227.3,0.87,198.1
227.8,1.15,227.3,0.87,198.1
227.8,1.15,227.2,0.87,198.1
227.8,1.15,227.2,0.87,198.1
227.9,1.15,227.5,0.87,198.2
227.9,1.15,227.5,0.87,198.2
227.9,1.151,227.7,0.87,198.0
227.9,1.151,227.7,0.87,198.0
228,1.152,227.7,0.87,197.9
228,1.152,227.7,0.87,197.9
227.9,1.151,227.6,0.87,198.0
227.9,1.151,227.6,0.87,198.0
227.8,1.15,227.5,0.87,198.1
227.8,1.15,227.5,0.87,198.1
227.8,1.151,227.4,0.87,197.9
227.8,1.151,227.4,0.87,197.9
227.9,1.152,227.7,0.87,197.8
227.9,1.152,227.7,0.87,197.8
228,1.153,227.8,0.87,197.7
228,1.153,227.8,0.87,197.7
228,1.154,227.9,0.87,197.6
228,1.154,227.9,0.87,197.6
228,1.153,227.7,0.87,197.7
228,1.153,227.7,0.87,197.7
227.9,1.152,227.7,0.87,197.8
227.9,1.152,227.7,0.87,197.8
227.9,1.151,227.5,0.87,198.0
227.9,1.151,227.5,0.87,198.0
227.9,1.151,227.7,0.87,198.0
227.9,1.151,227.7,0.87,198.0
227.9,1.152,227.8,0.87,197.8
227.9,1.152,227.8,0.87,197.8
228.1,1.154,228.1,0.87,197.7
228.1,1.154,228.1,0.87,197.7
228.1,1.155,228.2,0.87,197.5
228.1,1.155,228.2,0.87,197.5
228,1.154,228,0.87,197.6
228,1.154,228,0.87,197.6
227.9,1.153,227.7,0.87,197.7
227.9,1.153,227.7,0.87,197.7
227.9,1.153,227.8,0.87,197.7
227.9,1.153,227.8,0.87,197.7
227.9,1.153,227.9,0.87,197.7
227.9,1.153,227.9,0.87,197.7
227.9,1.152,227.7,0.87,197.8
227.9,1.152,227.7,0.87,197.8
227.9,1.153,227.8,0.87,197.7
227.9,1.153,227.8,0.87,197.7
228,1.153,227.9,0.87,197.7
228,1.153,227.9,0.87,197.7
227.9,1.152,227.7,0.87,197.8
227.9,1.152,227.7,0.87,197.8
227.7,1.149,227.2,0.87,198.2
227.7,1.149,227.2,0.87,198.2
227.3,1.145,226.5,0.87,198.5
227.3,1.145,226.5,0.87,198.5
227.2,1.144,226.1,0.87,198.6
227.2,1.144,226.1,0.87,198.6
227.4,1.145,226.5,0.87,198.6
227.4,1.145,226.5,0.87,198.6
227.3,1.145,226.4,0.87,198.5
227.3,1.145,226.4,0.87,198.5
227.3,1.145,226.4,0.87,198.5
227.2,1.144,226.2,0.87,198.6
227.2,1.144,226.2,0.87,198.6
227,1.142,225.6,0.87,198.8
227,1.142,225.6,0.87,198.8
227.1,1.144,226,0.87,198.5
227.2,1.144,226.1,0.87,198.6
227.2,1.144,226.1,0.87,198.6
227.2,1.144,226.1,0.87,198.6
227.2,1.144,226.1,0.87,198.6
227.2,1.144,226.1,0.87,198.6
227.3,1.145,226.4,0.87,198.5
227.3,1.145,226.4,0.87,198.5
227.3,1.146,226.5,0.87,198.3
227.3,1.146,226.5,0.87,198.3
227.2,1.145,226.3,0.87,198.4
227.2,1.145,226.3,0.87,198.4
227.2,1.145,226.2,0.87,198.4
227.2,1.145,226.2,0.87,198.4
227.2,1.145,226.3,0.87,198.4
227.2,1.145,226.3,0.87,198.4
227.2,1.145,226.2,0.87,198.4
227.2,1.145,226.2,0.87,198.4
227.3,1.146,226.4,0.87,198.3
227.3,1.146,226.4,0.87,198.3
227.3,1.146,226.3,0.87,198.3
227.3,1.146,226.3,0.87,198.3
227.3,1.146,226.4,0.87,198.3
227.3,1.146,226.4,0.87,198.3
227.3,1.147,226.5,0.87,198.2
